index,Customer_ID,Name,Gender,Age,Salary,Join_Date,City,Email,Score
1,CUST1645,Sara,male,64.0,74084.0,2020-07-07 00:00:00,Kolkata,user645@gmail.com,50.635
2,CUST1815,Priya,female,38.0,5000.0,2021-05-12 00:00:00,Delhi,user815@gmail.com,55.31
3,CUST1716,ali123,male,44.0,33725.0,2021-05-25 12:00:00,Chennai,user716@gmail.com,17.14
4,CUST1760,Sneha,male,10.0,5000.0,2022-01-13 00:00:00,Delhi,user760@gmail.com,50.635
5,CUST1671,Neha,male,29.0,33725.0,2021-05-25 12:00:00,Kolkata,user671@gmail.com,50.635
6,CUST1063,Rahul,female,44.0,33725.0,2021-05-25 12:00:00,Mumbai,user63@gmail.com,50.635
7,CUST1867,Rahul,male,44.0,33725.0,2021-05-25 12:00:00,Mumbai,user867@gmail.com,50.635
8,CUST1570,Priya,male,44.0,47232.0,2022-01-13 00:00:00,,user570@gmail.com,50.635
9,CUST1346,Aman,male,44.0,33725.0,2021-05-25 12:00:00,,none,50.635
11,CUST1902,Priya,44,44.0,39986.0,2021-05-25 12:00:00,Kolkata,none,50.635
12,CUST1608,Aman,44,60.0,5000.0,2022-01-13 00:00:00,Kolkata,none,50.635
13,CUST1124,Rahul,44,44.0,33725.0,2021-04-12 00:00:00,Kolkata,none,50.635
14,CUST1199,rahul123,female,32.0,5000.0,2022-01-13 00:00:00,Chennai,user199@gmail.com,30.76
15,CUST1708,Neha,female,31.0,33725.0,2021-05-25 12:00:00,Kolkata,user708@gmail.com,50.635
16,CUST1885,Priya,44,44.0,69539.0,2021-05-25 12:00:00,Delhi,user885@gmail.com,50.635
17,CUST1200,Ali,male,31.0,33725.0,2022-07-08 00:00:00,Kolkata,invalid_email.com,50.635
18,CUST1201,Priya,male,63.0,93982.0,2022-01-13 00:00:00,,user201@gmail.com,50.635
19,CUST1523,Priya,female,48.0,5000.0,2020-03-10 00:00:00,Hyd,user523@gmail.com,50.635
20,CUST1461,Priya,female,32.0,33725.0,2021-05-25 12:00:00,Delhi,invalid_email.com,50.635
21,CUST1606,Sneha,male,50.0,33725.0,2021-05-25 12:00:00,,user606@gmail.com,50.635
22,CUST1607,Neha,44,60.0,64740.0,2021-05-25 12:00:00,Kolkata,user607@gmail.com,21.0
23,CUST1171,Ali,44,37.0,5000.0,2021-05-12 00:00:00,,invalid_email.com,50.635
24,CUST1530,Neha,female,44.0,99530.0,2020-11-18 00:00:00,Delhi,invalid_email.com,50.635
25,CUST1634,Rahul,44,44.0,50528.0,2020-11-18 00:00:00,Mumbai,user634@gmail.com,50.635
26,CUST1891,Rahul,male,44.0,5000.0,2021-05-12 00:00:00,Hyd,user891@gmail.com,50.635
27,CUST1358,Neha,female,37.0,90725.0,2020-01-24 00:00:00,Hyd,user358@gmail.com,50.635
28,CUST1512,Neha,44,44.0,5000.0,2020-01-24 00:00:00,Kolkata,none,50.635
29,CUST1855,Neha,44,44.0,33725.0,2020-04-23 00:00:00,Chennai,user855@gmail.com,59.39
30,CUST1831,Aman,44,44.0,67541.0,2021-05-12 00:00:00,Kolkata,none,47.25
31,CUST1075,Priya,male,10.0,24862.0,2022-01-13 00:00:00,Mumbai,user75@gmail.com,50.635
33,CUST1750,Ali,male,67.0,56580.0,2021-04-27 00:00:00,Mumbai,user750@gmail.com,50.635
34,CUST1142,Sneha,female,10.0,33725.0,2021-04-27 00:00:00,,user142@gmail.com,50.635
35,CUST1454,Rahul,male,44.0,5000.0,2021-05-25 12:00:00,Kolkata,user454@gmail.com,50.635
36,CUST1350,Aman,male,30.0,57102.0,2022-01-13 00:00:00,Kolkata,user350@gmail.com,50.635
37,CUST1633,Sneha,male,44.0,67169.0,2021-05-12 00:00:00,Delhi,invalid_email.com,50.635
38,CUST1534,Rahul,male,25.0,98322.0,2021-05-12 00:00:00,Bangalore,user534@gmail.com,50.635
40,CUST1814,Sara,female,44.0,33725.0,2021-05-12 00:00:00,Bangalore,none,50.635
41,CUST1747,Sara,female,10.0,33725.0,2022-01-13 00:00:00,,invalid_email.com,50.635
42,CUST1558,Rahul,male,44.0,28478.0,2021-05-12 00:00:00,Bangalore,user558@gmail.com,50.635
43,CUST1215,Sneha,male,10.0,98921.0,2021-03-28 00:00:00,,user215@gmail.com,50.635
44,CUST1419,John,male,23.0,33725.0,2021-05-25 12:00:00,,invalid_email.com,50.635
46,CUST1548,Priya,male,10.0,47303.0,2021-05-25 12:00:00,Kolkata,user548@gmail.com,50.635
47,CUST1746,priya123,44,44.0,33725.0,2022-01-13 00:00:00,Bangalore,user746@gmail.com,50.635
48,CUST1925,Priya,44,49.0,98762.0,2022-01-13 00:00:00,Hyd,user925@gmail.com,8.12
49,CUST1046,Priya,44,10.0,5000.0,2022-01-13 00:00:00,,user46@gmail.com,50.635
50,CUST1773,sneha123,female,44.0,45904.0,2022-01-13 00:00:00,Kolkata,user773@gmail.com,50.635
51,CUST1553,John,female,44.0,44148.0,2021-05-25 12:00:00,Bangalore,invalid_email.com,50.635
52,CUST1403,Sara,44,44.0,33725.0,2020-05-04 00:00:00,,invalid_email.com,11.54
53,CUST1449,Sneha,male,44.0,59988.0,2022-06-20 00:00:00,Delhi,user449@gmail.com,50.635
54,CUST1169,John,male,44.0,33725.0,2020-12-21 00:00:00,Chennai,user169@gmail.com,50.635
55,CUST1610,Rahul,male,44.0,33725.0,2020-12-21 00:00:00,Bangalore,invalid_email.com,50.635
56,CUST1584,priya123,female,44.0,30611.0,2021-05-25 12:00:00,Delhi,user584@gmail.com,50.635
57,CUST1112,Priya,female,10.0,64773.0,2022-01-13 00:00:00,Delhi,user112@gmail.com,50.635
58,CUST1224,Sneha,female,44.0,33725.0,2022-01-13 00:00:00,Mumbai,user224@gmail.com,50.635
59,CUST1939,Rahul,44,10.0,33725.0,2022-01-13 00:00:00,Mumbai,user939@gmail.com,43.64
60,CUST1229,Aman,male,66.0,30706.0,2021-05-25 12:00:00,Delhi,user229@gmail.com,68.75
62,CUST1069,Rahul,male,66.0,33725.0,2022-01-13 00:00:00,Hyd,invalid_email.com,50.635
63,CUST1844,John,female,32.0,41717.0,2022-01-13 00:00:00,Kolkata,none,50.635
64,CUST1655,John,female,44.0,5000.0,2021-05-25 12:00:00,Kolkata,user655@gmail.com,50.635
65,CUST1872,John,male,10.0,33725.0,2021-05-12 00:00:00,,none,50.635
66,CUST1675,John,male,49.0,85112.0,2022-01-13 00:00:00,Mumbai,user675@gmail.com,50.635
67,CUST1242,Priya,male,44.0,34664.0,2022-06-02 00:00:00,Mumbai,invalid_email.com,50.635
68,CUST1076,Aman,female,44.0,33725.0,2021-05-12 00:00:00,Kolkata,user76@gmail.com,50.635
69,CUST1362,Aman,female,44.0,33725.0,2021-05-12 00:00:00,Hyd,user362@gmail.com,50.635
70,CUST1803,Priya,male,44.0,33725.0,2021-05-12 00:00:00,Mumbai,user803@gmail.com,81.68
71,CUST1006,Aman,male,54.0,5000.0,2021-05-12 00:00:00,Bangalore,user6@gmail.com,84.77
72,CUST1717,Sneha,female,44.0,33725.0,2022-01-13 00:00:00,Kolkata,user717@gmail.com,47.27
73,CUST1813,Neha,44,25.0,23674.0,2021-05-25 12:00:00,Mumbai,user813@gmail.com,3.42
75,CUST1345,Neha,male,44.0,5000.0,2021-01-02 00:00:00,,invalid_email.com,50.635
76,CUST1087,Rahul,female,68.0,35179.0,2021-05-25 12:00:00,Bangalore,user87@gmail.com,50.635
77,CUST1628,Priya,male,44.0,5000.0,2021-05-25 12:00:00,Kolkata,user628@gmail.com,50.635
79,CUST1484,Neha,44,44.0,33725.0,2022-01-13 00:00:00,Chennai,none,34.97
